Datetime,URL,Tweet Id,Username,Raw Text,Text,Reply Count,Retweet Count,Like Count,Quote Count,Links
2023-01-30 23:17:17+00:00,https://twitter.com/kontakBRI/status/1620199500236357634,1620199500236357634,kontakBRI,"@ppearlmilktea @BANKBRI_ID Rekening dapat menerima dana masuk selama rekening tersebut aktif.

Sobat BRI harus tetap waspada, semua akun resmi medsos BRI sudah ter-Verified dan Channel Private resmi BRI melalui WhatsApp dengan nomor 08121214017. Tks~Debi (2)","@ppearlmilktea @BANKBRI_ID Rekening dapat menerima dana masuk selama rekening tersebut aktif.

Sobat BRI harus tetap waspada, semua akun resmi medsos BRI sudah ter-Verified dan Channel Private resmi BRI melalui WhatsApp dengan nomor 08121214017. Tks~Debi (2)",0,0,1,0,
2023-01-30 23:17:10+00:00,https://twitter.com/kontakBRI/status/1620199472331649025,1620199472331649025,kontakBRI,"@ppearlmilktea @BANKBRI_ID Sobat BRI tidak perlu khawatir, Safety Mode akan otomatis berakhir dan limit akan kembali seperti semula setelah 1x24 jam. Untuk saat ini silakan melakukan transaksi transfer melalui Internet Banking Browser https://t.co/Kn2Azp6ytE, mesin ATM atau Agen BRILink. (1)","@ppearlmilktea @BANKBRI_ID Sobat BRI tidak perlu khawatir, Safety Mode akan otomatis berakhir dan limit akan kembali seperti semula setelah 1x24 jam. Untuk saat ini silakan melakukan transaksi transfer melalui Internet Banking Browser https://t.co/Kn2Azp6ytE, mesin ATM atau Agen BRILink. (1)",0,0,0,0,"[TextLink(text='ib.bri.co.id', url='https://ib.bri.co.id/', tcourl='https://t.co/Kn2Azp6ytE', indices=(235, 258))]"
2023-01-30 23:07:55+00:00,https://twitter.com/ppearlmilktea/status/1620197142144098304,1620197142144098304,ppearlmilktea,"@BANKBRI_ID @kontakBRI Iya saya telah melakukan pergantian device, tapi untuk menerima transferan masih bisa ya?","@BANKBRI_ID @kontakBRI Iya saya telah melakukan pergantian device, tapi untuk menerima transferan masih bisa ya?",3,0,0,2,
2023-01-30 23:06:47+00:00,https://twitter.com/BANKBRI_ID/status/1620196860047785985,1620196860047785985,BANKBRI_ID,"@ppearlmilktea @kontakBRI Tarik tunai di mesin ATM BRI lebih mudah tanpa kartu ATM dengan aplikasi BRImo. Sobat BRI harus tetap waspada, semua akun resmi medsos BRI sudah ter-Verified dan Channel Private resmi BRI melalui WhatsApp dengan nomor 08121214017. Tks~Debi (3)","@ppearlmilktea @kontakBRI Tarik tunai di mesin ATM BRI lebih mudah tanpa kartu ATM dengan aplikasi BRImo. Sobat BRI harus tetap waspada, semua akun resmi medsos BRI sudah ter-Verified dan Channel Private resmi BRI melalui WhatsApp dengan nomor 08121214017. Tks~Debi (3)",0,0,0,0,
2023-01-30 23:06:36+00:00,https://twitter.com/BANKBRI_ID/status/1620196813663006720,1620196813663006720,BANKBRI_ID,"@ppearlmilktea @kontakBRI Tidak perlu khawatir, Safety Mode akan otomatis berakhir dan limit akan kembali seperti semula setelah 1x24 jam. Untuk saat ini silakan melakukan transaksi transfer melalui Internet Banking Browser https://t.co/hE8PbhZdy7, mesin ATM atau Agen BRILink. (2)","@ppearlmilktea @kontakBRI Tidak perlu khawatir, Safety Mode akan otomatis berakhir dan limit akan kembali seperti semula setelah 1x24 jam. Untuk saat ini silakan melakukan transaksi transfer melalui Internet Banking Browser https://t.co/hE8PbhZdy7, mesin ATM atau Agen BRILink. (2)",0,0,0,0,"[TextLink(text='ib.bri.co.id', url='https://ib.bri.co.id/', tcourl='https://t.co/hE8PbhZdy7', indices=(224, 247))]"
2023-01-30 23:06:20+00:00,https://twitter.com/BANKBRI_ID/status/1620196746369581057,1620196746369581057,BANKBRI_ID,"@ppearlmilktea @kontakBRI Hai Sobat BRI, kami informasikan jaringan aplikasi BRImo dalam keadaan normal. Apakah Sobat BRI melakukan pergantian perangkat atau Install ulang aplikasi BRImo? Jika iya, maka akan tampil Safety Mode BRImo atau penurunan limit transaksi. (1)","@ppearlmilktea @kontakBRI Hai Sobat BRI, kami informasikan jaringan aplikasi BRImo dalam keadaan normal. Apakah Sobat BRI melakukan pergantian perangkat atau Install ulang aplikasi BRImo? Jika iya, maka akan tampil Safety Mode BRImo atau penurunan limit transaksi. (1)",1,0,0,0,
2023-01-30 22:45:11+00:00,https://twitter.com/ppearlmilktea/status/1620191421079904256,1620191421079904256,ppearlmilktea,"Dari kemarin mau top up kenapa muncul ""melebihi limit"" ya? Padahal belum ada transaksi hari ini @BANKBRI_ID @kontakBRI https://t.co/Tu24v3Ireg","Dari kemarin mau top up kenapa muncul ""melebihi limit"" ya? Padahal belum ada transaksi hari ini @BANKBRI_ID @kontakBRI https://t.co/Tu24v3Ireg",7,0,0,1,
2023-01-30 17:53:21+00:00,https://twitter.com/BANKBRI_ID/status/1620117980393926657,1620117980393926657,BANKBRI_ID,"@kasavaka Hai Sobat BRI, pesan yang dikirimkan melalui DM sudah kami respon ya.

 Just info akun resmi BRI hanya yang sudah ter-Verified dan Channel Private BRI melalui WhatsApp hanya dengan nomor 08121214017 ya. Tks~Tedi","@kasavaka Hai Sobat BRI, pesan yang dikirimkan melalui DM sudah kami respon ya.

 Just info akun resmi BRI hanya yang sudah ter-Verified dan Channel Private BRI melalui WhatsApp hanya dengan nomor 08121214017 ya. Tks~Tedi",0,0,0,0,
2023-01-30 17:46:24+00:00,https://twitter.com/ZTavisha/status/1620116232291897344,1620116232291897344,ZTavisha,@Bukansiboba @BANKBRI_ID Pembayaran apa aja bisa,@Bukansiboba @BANKBRI_ID Pembayaran apa aja bisa,0,0,0,0,
2023-01-30 17:46:11+00:00,https://twitter.com/ZTavisha/status/1620116175907868672,1620116175907868672,ZTavisha,@Bukansiboba @BANKBRI_ID Wajib punya brimo dong,@Bukansiboba @BANKBRI_ID Wajib punya brimo dong,0,0,0,0,
