Datetime,URL,Tweet Id,Username,Raw Text,Text,Reply Count,Retweet Count,Like Count,Quote Count,Links,Reply to ID,Is Parent
2023-02-24 12:27:57+00:00,https://twitter.com/2BmNKu5ZPRKYuJE/status/1629095788436680704,1629095788436680704,2BmNKu5ZPRKYuJE,"@ezash @BANKBRI_ID -tpi kalo setiap Minggu mah kek agak aneh sih, mohon bantuannya @BANKBRI_ID","@ezash @BANKBRI_ID -tpi kalo setiap Minggu mah kek agak aneh sih, mohon bantuannya @BANKBRI_ID",1,0,0,0,,1629095687953715202,False
2023-02-24 12:27:33+00:00,https://twitter.com/2BmNKu5ZPRKYuJE/status/1629095687953715202,1629095687953715202,2BmNKu5ZPRKYuJE,"@ezash @BANKBRI_ID ijin nanya min,kalo misalnya uang di ATM kepotong tiap Minggu itu wajar gak? Setiap Minggu kepotong 7ribu min. Setiap kali ada transferran masuk pasti kepotong, paling besar pernah dipotong 14ribu, bahkan pernah smpe saldo minus. Kalo potongan bulanan mah gapapa-","@ezash @BANKBRI_ID ijin nanya min,kalo misalnya uang di ATM kepotong tiap Minggu itu wajar gak? Setiap Minggu kepotong 7ribu min. Setiap kali ada transferran masuk pasti kepotong, paling besar pernah dipotong 14ribu, bahkan pernah smpe saldo minus. Kalo potongan bulanan mah gapapa-",6,0,0,1,,1629095687953715202,True
2023-02-24 12:27:33+00:00,https://twitter.com/2BmNKu5ZPRKYuJE/status/1629095687953715202,1629095687953715202,2BmNKu5ZPRKYuJE,"@ezash @BANKBRI_ID ijin nanya min,kalo misalnya uang di ATM kepotong tiap Minggu itu wajar gak? Setiap Minggu kepotong 7ribu min. Setiap kali ada transferran masuk pasti kepotong, paling besar pernah dipotong 14ribu, bahkan pernah smpe saldo minus. Kalo potongan bulanan mah gapapa-","@ezash @BANKBRI_ID ijin nanya min,kalo misalnya uang di ATM kepotong tiap Minggu itu wajar gak? Setiap Minggu kepotong 7ribu min. Setiap kali ada transferran masuk pasti kepotong, paling besar pernah dipotong 14ribu, bahkan pernah smpe saldo minus. Kalo potongan bulanan mah gapapa-",6,0,0,1,,1628715910818332672,False
2023-02-23 11:18:27+00:00,https://twitter.com/ezash/status/1628715910818332672,1628715910818332672,ezash,"Maaf mungkin norak, tapi....

GANTI KARTU BCA GAMPANG BANGET TERNYATA YA BARU TAU 😂😂😂 https://t.co/hdiCTaNdG3","Maaf mungkin norak, tapi....

GANTI KARTU BCA GAMPANG BANGET TERNYATA YA BARU TAU 😂😂😂 https://t.co/hdiCTaNdG3",304,224,2507,186,,1628715910818332672,True
2023-02-24 12:12:10+00:00,https://twitter.com/nonanelll/status/1629091814178455553,1629091814178455553,nonanelll,"@recyclewind @BANKBRI_ID Kak brimo saya juga eror, saldo tertahan terus kenapa yaa? @BANKBRI_ID","@recyclewind @BANKBRI_ID Kak brimo saya juga eror, saldo tertahan terus kenapa yaa? @BANKBRI_ID",1,0,0,1,,1629061824653197312,False
2023-02-24 10:13:00+00:00,https://twitter.com/recyclewind/status/1629061824653197312,1629061824653197312,recyclewind,"BRImo error kah? @BANKBRI_ID 
Kenapa transaksi gagal terus padahal saldonya cukup 🙄","BRImo error kah? @BANKBRI_ID 
Kenapa transaksi gagal terus padahal saldonya cukup 🙄",7,0,0,1,,1629061824653197312,True
2023-02-24 11:55:14+00:00,https://twitter.com/Ptrnabila14/status/1629087551893164035,1629087551893164035,Ptrnabila14,@BANKBRI_ID Cek DM min. Terimakasih,@BANKBRI_ID Cek DM min. Terimakasih,1,0,0,1,,1629084925143187456,False
2023-02-24 11:44:47+00:00,https://twitter.com/BANKBRI_ID/status/1629084925143187456,1629084925143187456,BANKBRI_ID,"@Ptrnabila14 Hai Sobat BRI, mohon maaf atas ketidaknyamananny. Guna pengecekan daoat diinformasikan nomor pelaporan yang dimiliki melalui DM. 

Just info akun resmi BRI hanya yang sudah ter-Verified dan Channel Private BRI melalui WhatsApp dengan nomor 08121214017 ya. Tks~Tedi","@Ptrnabila14 Hai Sobat BRI, mohon maaf atas ketidaknyamananny. Guna pengecekan daoat diinformasikan nomor pelaporan yang dimiliki melalui DM. 

Just info akun resmi BRI hanya yang sudah ter-Verified dan Channel Private BRI melalui WhatsApp dengan nomor 08121214017 ya. Tks~Tedi",1,0,0,0,,1629084925143187456,True
2023-02-24 11:44:47+00:00,https://twitter.com/BANKBRI_ID/status/1629084925143187456,1629084925143187456,BANKBRI_ID,"@Ptrnabila14 Hai Sobat BRI, mohon maaf atas ketidaknyamananny. Guna pengecekan daoat diinformasikan nomor pelaporan yang dimiliki melalui DM. 

Just info akun resmi BRI hanya yang sudah ter-Verified dan Channel Private BRI melalui WhatsApp dengan nomor 08121214017 ya. Tks~Tedi","@Ptrnabila14 Hai Sobat BRI, mohon maaf atas ketidaknyamananny. Guna pengecekan daoat diinformasikan nomor pelaporan yang dimiliki melalui DM. 

Just info akun resmi BRI hanya yang sudah ter-Verified dan Channel Private BRI melalui WhatsApp dengan nomor 08121214017 ya. Tks~Tedi",1,0,0,0,,1629082835096309763,False
2023-02-24 11:36:29+00:00,https://twitter.com/Ptrnabila14/status/1629082835096309763,1629082835096309763,Ptrnabila14,"@BANKBRI_ID halo admin. Mohon bantuannya, saya ada melakukan stor tunai pada tanggal 23 Februari dan transaksi gagal akibat gangguan dan sampai sekarang dana saya gak masuk ke rekening saya. Saya sudah mengajukan pengaduan melalui aplikasi BRIMO tp sampai skrg blm ada perubahan.","@BANKBRI_ID halo admin. Mohon bantuannya, saya ada melakukan stor tunai pada tanggal 23 Februari dan transaksi gagal akibat gangguan dan sampai sekarang dana saya gak masuk ke rekening saya. Saya sudah mengajukan pengaduan melalui aplikasi BRIMO tp sampai skrg blm ada perubahan.",4,0,1,1,,1629082835096309763,True
